reviews_rating,reviews_text,reviews_title,reviews_username
4,"I booked this hotel for a last minute New Years stay-cation and it lived up to my expectations, for it to be New Years the staff was really helpful and friendly, and the hotel was filled to capacity but it still didn't seen crowded at all. And the breakfast buffet in the morning definitely came to a rescue from an evening of New Years partying",Good Buy For last Minute,Shannon
4,Smooth transaction: incredible location (a stone's throw off I-95) REALLY good food at the bistro in the lobby a smoking-hot PuertoRican chick tending bar on my last night that got me utterly destroyed ---thumbs up...!!!Cant wait to come back...!,Great Location Good People..!,Nicholas Maximus Packratticus
4,Nice hotel with the that price.. Breakfast was served well..,good hotel to stay,A verified traveler
4,"Although my stay was just a quick overnight, I was impressed by the looks and convenient location of this hotel.",Convenient and modern,Pamela
4,"The hotel was surprisingly good. Our room was very clean and spacious for 2 people. The bed was extremely comfortable. I especially liked the pillows that they provided. It gave just the right amount of support to my neck to relieve the stress and fatigue after roaming in scorching Washington DC heat on 4th July weekend (100 F). Hotel staff was super helpful. As soon as we checked into our room, within half an hour hotel attendant provided couple of extra towels without requesting. I especially liked this nice gesture because anyone tired of traveling in hot weather will take a nice bath and would need extra towels for early morning next day. Breakfast was average in terms of variety and quality. Neighborhood is definitely not good. There are couple of police cars always in the Hotel campus. So walking to Metro station is out of question. I wish the free hotel shuttle frequency to metro station was like every 10 mins instead of half an hour. It hardly takes 2 mins by shuttle to reach the metro station. But if you miss it (we did miss by couple of mins, while waiting for the elevator to arrive), you have to wait half an hour for next shuttle. All in all it was nice experience. I would definitely stay again.",Nice hotel near DC,yogi
4,"Nice hotel, terrible area. Loud traffic. Would not stay there again.",Nice access to Metro,A verified traveler
3,"It is true that you get what you pay for, the hotel staff was very friendly, but the first issue was with the AC , the hallways are like a oven, they only have 2 window AC units on each end of the hallways, when you come out of your elevator or room it is like you are getting into a sauna, ( very uncomfortable), the water pressure is very poor, it is like you take a shower with a medicine dropper and if somebody flush the toilet the water is gone until the toilet tank stop refilling, the drain in the bath tub was plug, need to call maintenance to fix it, and for last when you check in they tell you that breakfast has one type of meat in a daily basis (bacon or sausage), on my 4 days stay not even one day the meat appeared. I can said this is the worst hotel I stay on the last few years I travel. DO NOT RECOMMEND THIS HOTEL, NOT EVEN FOR THE CHEAP PRICE.",This Hotel need a lot of work,A verified traveler
3,"Booked this hotel due to proximity to Fedex Field only to realize it was 40 mins by metro. It would have been better to stay at a nicer hotel in a better area and take the metro from there. When i asked if i could walk back from the metro after the game, reception told me it might be better to run with the watch you're wearing.",OK hotel in the middle of nowhere,Don
5,"The hotel was very good,I didn't have any problems. The staff was very friendly and helpful.","Nice hotel, close to many major attractions.",A verified traveler
5,"Had a wonderful time here, and I will be coming back! The rooms are very nice, it's located perfectly close to everything, and the staff accommodates your needs to the best of their ability!",Metro-points 8500 new carlt. MD Great to stay at!!,A verified traveler
1,"Staff was rude, hotel is dirty, no hot water, questionable neighborhood. Was one of the worst hotels I have visited. The low rate is not low enough. Would not recommend under any circumstance. Pay the extra fifty dollars a night and stay at the Courtyard.",Avoid this property,DC Visitor
3,Room was decent for a night's stay. I've stayed in a cleaner room a few weeks earlier. Perhaps the last room was slightly more updated as well. Staff is always so nice and helpful.,Hotel close to neighborhood amenities.,A verified traveler
5,"This is the best in that price I've ever had. We stayed in room 807 ,The room was big,clean,and comfortable, everything is good for us.",Nice hotel,A verified traveler
3,"We made a reservation for a King room. Upon checkin, we were given a key to a 9th floor room. To our surprise, when we opened the door, it was a room with two beds. Back to the lobby we went to inform the staff and be moved to another room. The next room we were given was on the 5th floor. Upon entering, the tv was on, one of the TWO (again) beds was unmade. Carried all of our luggage back down to the front desk AGAIN to be moved. We were then upgraded to a suite in the seventh floor which satisfied me and made me much less angry. The room was very clean and a great size. When we went to the simon area at night to eat, we stood at the deal for ten minutes while the staff only looked at us. I finally walked over to someone and asked about eating and they informed me they were closing in 3 minutes. Would have been nice if one of the waitresses came over to inform us they were closing instead of just looking at us stand there waiting to be seated.",A few hiccups but convenient and acceptable,Susanne
2,"Part of hotel was under renovation, it was also noisy. Not a good bargain.",Needs improvement,A verified traveler
3,"Right off the interstate, over priced for the rooms and their current condition. Rug in the room stained and room smelled moldy. Checked out early....",Convenient location,A verified traveler
1,"I was highly disappointed this time around. This is my second time staying at this hotel and I did not like anything about our room. The 1st time we stayed here the room and price was great so we decided to stay again. We wanted a Jacuzzi and we were told in the room description that we would have one, but instead when we got to the room we had a regular jetted tub that did not work at all. We paid double for a room expecting something spectacular and we got nothing. The breakfast was okay, but it was so congested that you really could not enjoy your meal . Unfortunately, we will not be staying at this hotel again.",Not so good,A verified traveler
5,Worked out perfect for our sightseeing in DC.,Close to metro,Ashlee
4,"had some minor problems, but all corrected, and had a comfortable stay.","good hotel, with a resonable price",LOREN
5,Loved this hotel. The staff was wonderful. There was a complimentary shuttle to take you to the subway. We were there to visit Washington which was only a 35 minute ride so we did not have to drive our car. The complimentary breakfast was great with lots of choice.,Wonderful place to stay.,A verified traveler
5,It was very nice i enjoyed myself,Great Hotel!,Derrick
5,Adorei! Recomendo a todos! Apesar de nao ficar em Washington fica muito perto o que facilitou muito para conhecermos a capital com um custo de hotel do interior.,otimo custo beneficio,Jessica
4,"Nice location, nice front desk service.",Nice location!,Jerry
3,Good location-room nice and near good places to eat.,Great location,Kay
5,"My experience was wonderful, will look forward to book it again in the future. The room was just what I was expecting for and the staffs were very friendly and attentively.","It was an outstanding hotel,",A verified traveler
3,I had to change my from because room 610 tub looked like it was painted on the inside. The hotel served it purpose for an overnight stay..No 4 or 5*.overall decent for 1 night.,Serves as an overnighter that's it.,Tamika
4,Good stay!,Good Stay!,SURESH
5,Everyone was great. Very close to the Metro.,Great for a DC visit,Terry
5,"I was concerned about the location, because of the reviews, but it is a nice area. Far, of course, from the points of interest, but if you want to stay right next to rhe White House you have to pay the price. Very eficient staff, very clean room. I just hated the restaurant. The waitress was very slow, the food was not so bad, but when it finally got to our table it was already cold. I would rather go to McDonald's.",Very good!,A verified traveler
4,Free brkfst is decent. Room is nice and clean and cool. Bed -comfy. Only weird thing about room is they didn't bother with sub flooring under the carpet. Dips and bumps under the carpet.,Midway between DC Annapolis,Ardys
2,"Our room smelled like cigarette and it was dingy! Thankfully the manager was willing to give us a new room and upgraded to a suite. I think ALL the carpet needs to be replaced in all the rooms. This place should be categorized as a motel, not a hotel. Staff was nice though.","More of a motel, not hotel!",Paolo Carlo
4,Everything was great. The staff at the front desk were very friendly and made you feel comfortable. Would recommend to anyone and would stay here again when I am in the area.,Very nice hotel stay,A verified traveler
5,"Needed a good value hotel. This turned out to be perfect. Heavily booked, but it did not affect customer service from the employees I had contact with.",Location,A verified traveler
3,"Not in the greatest area, but cant complain about the price per night. Hotel has been renovated, but has thin walls and has shaired doors with the rooms next door causing lots of the sounds to come from underneath. The doors are sturdy and solid, but makes a lot of noise when they close. Hotel is very close to the Amtrak and metro station, shuttles arived 10 min late but is available",Cheap,A verified traveler
5,"I was a little worried by some of the reviews I read that stated the staff was rude and the hotel was in disrepair but the price was amazing so we went ahead and booked....and I'm SO GLAD WE DID!! The staff was incredibly friendly and helpful (and I'm from the South, so I know friendly.) The hotel has normal wear and tear, but was very clean and nicely furnished. Some people may not like that the microwave and fridge are extra (would have been nice to have but we wouldn't have used either so it didn't bother us). Beds are very comfortable and rooms are large enough to lounge in the evenings after a long day. The free shuttle service was great. The Metro (subway) is farther away than listed. The site stated 1/4 mi, but it's closer to 3/4 or 1mi. We had no problem walking it during the day. If this is your first visit, be sure to ask specifically where the shuttle will pick up. We were on the wrong side and missed it the first time. If you exit the Metro up the escalators, go out and to the left up the steps to where there are several bus stops. If you exit to the right near the greyhound stop (and a several story parking garage), you're on the wrong side. The shuttle drivers were very nice and happy to give directions and tips. Once you're on the Metro, a 20min ride gets you into the city. Definitely worth it to save hundreds on a hotel room. There are several restaurants right outside the hotel and several more within 1/4-1/2mi walk. There are also some smaller shopping places if you forget any necessities. We would definitely recommend this hotel and will definitely return if we're ever back in the DC area.",Wonderful Hotel,A verified traveler
3,"The hotel would not. The hair dryer was broken. The cable was out in the area. However, when we caller for service they came to repair the toilet and the hairdryer right away.",Good service but broken things,A verified traveler
5,"comfortable, clean and affordable",Excellent and Great Price,casey
5,"Don't believe the negative reviews we stayed at this hotel for four nights and looked forward to coming home each night. My girlfriend used to work at a hotel and she thought the room was typical of hotels costing 50 more a night. Clean room, comfy bed, nice bathroom, friendly staff and free shuttle to the metro, which is half a mile away (takes about 20 mins to ride to Capitol). We heard sounds from neighboring rooms only once, and the noise was faint. Only complaint was the room service - it took 75 minutes to arrive but they gave it to us free. Reading other reviews, we were a little worried about the neighborhood. Don't be. Yes, it's not the best part of town but those who call it a ghetto are way off. We walked to the metro once (and back at night) and we always felt safe. This is a great way to see DC and not spend a ton at a downtown hotel.",Wonderful room at an outstanding price,A verified traveler
4,I enjoyed my stay,Very nice stay,Mark
4,"Went on May 2015. Rest of the DC hotels were either sold out or very expensive. Overall it was ok. Rooms were fairly clean, breakfast wasn't that good (always out of something), staff was helpful, check in/out was quick and painless. Free parking is a plus. Depending on the day/time its about 30-45 min to downtown DC by car. They also offer shuttle service to nearest train station till 10pm everyday. I'd pick a closer hotel to downtown, but like I said there wasn't anything below 300, 84 was a steal :)",Nice hotel,A verified traveler
4,it was nice!,nice stay!,brooke
5,The staff were extremely helpful. They offered directions and even a weather report for us during our stay. The room was very comfortable and well stocked with towels. Breakfast was simple but very satisfying. It is only open for about 2 hours. It has been updated and I really liked the improvements. You can tell that the owners and staffers care about their property and it shines through. I would absolutely stay here again. Very reasonable and a perfect location. Less then a minute from I-95.,Great Hotel-Close to Six Flags and Downtown D.C.,Kristina
3,"On Monday while watching a news program, the light went off. I waited 10mins nothing happened and I called the front desk and I was told something like: light went out in the entire New Carrollton area. That was not their fault but not to have adequate preparation and provision in case of such occurrence is unacceptable. I was unaware when the back up power came up because my room never had light until the New Carrollton light came back. Business should be business. I paid for a full service, not spending some moment in darkness. Thank you.","Terrible. No light, back up power failed the test.",A verified traveler
5,"This hotel is outside of DC, but its shuttle goes directly to the metro, which goes directly to sites in DC. Everyone on the staff was helpful and friendly. Breakfast was served starting at 6:30am, which allowed us to depart early each day. We would stay here again.",Great service and location,A verified traveler
5,It was very nice. The staff was professional and friendly. The free breakfast was a nice treat.,Overnight,Stewart
4,"Its far from DC. but hotel is good. Sorrounding also is good, lots of eating places nearby. Room was big and worth its price. But AC was not too cool. Hotel should provide a fridge in the room. My kid picked up a wafer which she put it back. But I find they charged me for that from my credit card statement. They did not even confirm from me. I had to lodge a complaint and they reverted back the amount.",A good hotel if location is not a problem,BNR
5,This may be the best motel I have ever stayed in. My wife still wants to go back so we can sleep in the bed again. Very nice!,best motel ever,A verified traveler
5,"Had a 7:30am tour of the White House and wanted to be near public transportation (New Carrolton Station). Metro Points fit the bill and was recently renovated. A good price from Expedia sealed the deal for us. Upon arrival we found the staff to be helpful and friendly. The two adjoining rooms were clean and well appointed. Local amenities offered a wide choice of restaurants, and a local IHOP was open 24x7 to support our early morning breakfast and travel needs. MetroPoint even provided a 15 discount. We would definitely stay again.",Trip to Nation's Capital,Mitch
4,We visited for a game at FedEx field and took some time to also enjoy DC. This hotel fit out needs for both. Wish the breakfast was longer during the week for those looking to get some shuteye since it was our vacation :) we opted for Starbucks across the street instead of waking for a buffet that closed at 9am. Shuttle to metro station was super convenient. One elevator broke leaving the whole hotel to function in chaos since the stairs were only for emergency. Carpet in our room was heavy soiled and in need of replacement. Only thing missing was a pool.....,Great place to rest your head for DC getaway,Jennie
5,"Clean room and public areas, updated colors and design. Good full American breakfast (scrambled eggs were very fluffy, not soggy and runny). A 5 glass of wine at the lobby bar was extremely reasonable. Hotel had several motorcoach groups there, but the front desk seemed to process their check-in/check-out very efficiently. All staff very courteous and friendly. Hotel shuttle runs to the metro stop, so you can easily get into D.C. without driving. I'd stay here again.","Clean, Friendly, Good Value",A verified traveler
4,"The hotel offered many amenities that were beneficial to us for the reason for our stay such as, comfortable rooms and breakfast. Upon arrival a round trip service from the hotel to stadium was being offered for 20 dollars a person. We immediately jumped on the deal due to being unfamiliar with the area, as well as my wife expecting our first baby. She is restricted to the amount of walking she is to do and we didn't want to walk to and from the metro station in the dark. Our driver never picked us up at the drop off location, when speaking to him he misled us to where we were to go to meet him, he hung up on us and a police officer, and shut off his phone. We didn't get picked up until an hour and half after the game by the boss of the company. The whole ordeal was very frustrating and unorganized. We did get half of our money back from the second driver/boss of the company. When returning to the hotel the staff didn't seem concerned with the mishap. I don't think the hotel hired a credible company to provide shuttle services to their guests. Any guest should be cautious about using an outside shuttle service provided by this hotel.",DC trip to 9er game,Timothy Brashear
5,This site was very nice. It's close to the interstate and close to DC. You won't be disappointed.,This hotel is upscale but the price is budget.,A verified traveler
5,Very good experience. But the staff manner need improve.,A good hotel,Ken
3,"The hotel was nice. New renovations, the breakfast was very very good, and the rooms were clean. The shuttle to the Metro was great. The front desk workers were not nice and unprofessional. Seemed like they hated their job. They also take 100 out for a security deposit. They said I'll get it back within 17 business days. The location is sketchy. Do not walk at night. Really nothing to do around that area unless you have a car or hoping onto the Metro.",Decent hotel,A verified traveler
3,"The hotel had a convenient location, right outside of the interstate and 5 minutes from the metro station. The front desk people were okay but it seems like they are always in a hurry - from checking in, checking out or even just asking a question. The breakfast was great, it was a hot breakfast not just bagels and hotcakes. We had eggs, grits, sausages and such. The cleaning ladies were awesome! Every time we got back to the hotel after lunch, our room was already made and our towels changed. The shuttle driver, Sam, was awesome too! He made the drive to the metro very fun and was very helpful. Again, if not for the front desk people, this hotel would be great!",average,Mary
4,This is a great place to stay!,Great Hotel for a Great Price!,A verified traveler
5,"O hotel e meio longe do centro de Washington, mas valeu pelo conforto e pelo preco. O hotel oferece um transporte para ida e volta para o metro para compensar a distancia: Gostei",Gostei,Camila Cristina
4,Visited D.C. for two days and found this to be gret for what we needed. Close to the metro and shuttle service to and from. Breakfast was ok...not that much variety but for the price adequate. Only issue we had was with the shuttle one evening we got in about two minutes after the scheduled shuttle from metro to hotel and they would not wait for us. I think a small exception could have been made to wait a minute or two at 10 pm to wait for a guest that was on the phone with you telling you that they were one stop away. Front desk just said sorry we cant wait..next shuttle will be in 30 minutes. We took a taxi and although its probably only a quarter of a mile drive it cost ten dollars. I have mixed feelings about how that situation was handled being in customer service but I can also understand that there has to be structure as well. Overall a good place to stay.. I would recommend it to friends.,cheap and convenient,Livan
4,"I picked this place because the parking was free, big mistake. I do not have anything against this nice place but I believe that i won't stay there again. The rooms are clean, the parking is big, there are many different stores and places where to buy anything around, but is also located in a violent area. It was a great stay that I won't repeat.","Nice place to stay,but far from Washington",A verified traveler
3,Hotel definitely needs updating. Worn carpet everywhere filthy evelator doors. Staff is rude not pleasant at all except nice ladies that work in the restaurant. The shuttle experience was the worst I ever experienced! Driver (the one who walks with a limp) never greeted anyone was never on time.,You live you learn,A verified traveler
5,Muy buen hotel,Excelente,A verified traveler
5,"My stay was surprisingly wonderful, except they didn't mention any charges at check in after the bill was paid for ahead of time. If they're going to charge customers after they've already paid ahead of time, then they should at least give the customer the common decency and respect to advise them of such action. People don't like surprise charges and no legit reasons.",Comfortable but no communication,Avraham
3,I was expecting a more welcoming attitude from the reception. Some of them were nice but there is one guy who was very serious and never smiled. I didn't understand if he had a bad time or this is simply his personality. The floor I stayed on had a little bit of unfresh air on the entrance. I stayed before and room condition was better. Also one time shuttle service took more than one hour to arrive for pickup. We waited from 3:30 pm to 4:40 pm we called at 3:20 pm but looks like they skipped one pick-up turn.,Metro Points Stay,A verified traveler
4,I was very surprised by how modern the hotel was. I heard stories that the hotel wasn't up to par but I found it to be very nice and clean. I would stay again.,Pleasantly Surprised!,A verified traveler
3,"The hotel was really nice! Although the room furniture was a little outdated, I had no complaints otherwise. A shuttle to the Metro was perfect! The staff was really friendly and accomodating. If you want a DC vacation without the expense or hassle of traffic, stay at this hotel!",Good if you want to avoid DC traffic!,A verified traveler
3,"We stayed here for 4 nights while enjoying Washington DC. I had read other reviews of Mid Points before booking so I think I had a realistic expectation. I have to agree with most of the reviews the service was outstanding, the breakfast was awesome and the fitness center was clean and spacious. The website does show a pool, however it does not exist so we brought our suits for nothing. Our room was clean, updated and repaired, but the evidence of previous extensive water damage could still be noticed. It isn't in the greatest part of town, but not as bad as Minnesota Ave. The biggest plus for us was the free shuttle to the Metro station which saved me a ton!",Not bad for the price,Carol
4,The hotel was nice but the staff in the bar were lazy and rude.,It was ok.,Steve
4,"Was nice location from the long drive from Nutley, NJ to Washington DC. The shower and bathroom facilities is very good. The room is spacious and well lit. The front lights and bathrooms lights were remarkable since it has motion detectors and switches on and off automatically. Overall the stay was welcoming for well traveled guests.",Great Location and inexpensive stay,Ram
4,"clean and comfortable,near dc,good price,good hotel,will come back",good place,A verified traveler
3,Overall experience OK. Hotel had remodel several years ago. Our room's ceiling had only been painted half way. Wallpaper in bathroom was coming lose in several spots. Tile around tub was losing caulk. Breakfast buffet was limited.,Good value for price.,Blaine
5,this is well big and nice place to stay for holiday trip,Nice place to stay,A verified traveler
4,"Hotel was in reasonable conditio. We were upgraded to a junior suite. The room was nice, reasonable clean and confortable and located near a Metro Station. The neighborhood was questionable, though we had no problems, I wouldn't recommend going out at night. Breakfast was limited, but plenty of food.",Metro Points,Linda
5,"My experience in this hotel has been one of a kind. Everything seems to be on point. I would recommend this place to others. Also, great price! Full breakfast included. Nice!",Satisfied,A verified traveler
5,"My wife and I were spoilt silly by sheer hospitality. We had a wonderful stay, my only issue was that we could not be given a hard bed (mattress) so I experienced back pain throughout our stay.",A holiday that cannot be forgotten in a hurry.,'Sina Bamtefa
5,Friendly desk personnel. Friendly staff. Free shuttle service from the hotel to the metro station. Breakfast arrangements were comfortable. My room had an excellent view. I highly recommend this hotel.,Pleasant place to stay,A verified traveler
5,"Got off to a rocky start, but after I was able to make the staff aware of my concerns my stay was FANTASTIC. I will Definitely make this my location of choice when I am in the DC area. I would also like to state there is no one staff member that I can commend over anther. I have been in the service industry for 25 years and it takes a lot to impress me I am impressed!",Home away from home,A verified traveler
5,The staff were friendly and helpful. the complimentary cooked breakfast was excellent the gym was well equipped and clean,friendly and helpful staff clean and comfortable,Tom
4,"About 20 min from white house. Nice and clean. IHOP for breakfast right there, at 1 minute walking distance.",Nice place to stayclose to WDC,A verified traveler
5,Pretty good place they are under remodel but they let you know that. You'll feel safe because the cops are always there not because of problems they just hangout there.,Vaction,Matt
4,"We spent 3 nights at the Four Points. It was well worth the money. Very convenient to the metro which we took the 2 full days that we went into Washington D.C. The hotel will take you and pick you up from the metro with their shuttle. The neighborhood is not the greatest, but I felt safe. There are several surrounding business like an Ihop, pizza place, and 7-11. A New Carrollton officer sat in the 7-11 parking lot 2 of the nights we were there. I would definitely recommended Four Points.",Great room for the money,A verified traveler
3,"nice hotel ,good value being out of DC but not much around area , so if you dont mind being away from night time activity and just want a base to explore DC from it is ideal",convienient to train station for access to downtow,A verified traveler
4,The hotel is a good pick when the goal is to have a place to crash that is cheaper than the majority in the area and when you want something clean. I did appreciate the shuttle to and from the metro that was provided for free. The hotel doesn't have a lot of extras but it fit the bill for us.,Great price!,Tara
